,KEGG,Pubchem SID,Pubchem CID
0,C00002,3304,5957
1,C00003,3305,5893
2,C00006,3308,5886
3,C00008,3310,6022
4,C00010,3312,87642
5,C00015,3317,6031
6,C00016,3318,643975
7,C00018,3320,1051
8,C00019,3321,34756
9,C00020,3322,6083
10,C00022,3324,1060
11,C00025,3327,33032
12,C00026,3328,51
13,C00027,3329,784
14,C00029,3331,8629
15,C00031,3333,5793
16,C00032,3334,23925
17,C00033,3335,176
18,C00035,3337,135398619
19,C00036,3338,970
20,C00037,3339,750
21,C00041,3343,5950
22,C00042,3344,1110
23,C00044,3346,135398633
24,C00047,3349,5962
25,C00048,3350,760
26,C00049,3351,5960
27,C00051,3353,124886
28,C00053,3355,10214
29,C00055,3357,6131
30,C00058,3358,284
31,C00061,3361,643976
32,C00062,3362,6322
33,C00063,3363,6176
34,C00064,3364,5961
35,C00065,3365,5951
36,C00067,3367,712
37,C00068,3368,1132
38,C00072,3372,54670067
39,C00073,3373,6137
40,C00075,3375,6133
41,C00077,3377,6262
42,C00078,3378,6305
43,C00079,3379,6140
44,C00081,3381,135398643
45,C00082,3382,6057
46,C00084,3384,177
47,C00087,3387,402
48,C00089,3389,5988
49,C00090,3390,289
50,C00095,3395,439163
51,C00097,3397,5862
52,C00099,3399,239
53,C00101,3401,135398650
54,C00104,3404,135398651
55,C00105,3405,6030
56,C00106,3406,1174
57,C00108,3408,227
58,C00109,3409,58
59,C00110,3410,24892715
60,C00112,3412,6132
61,C00113,3413,1024
62,C00114,3414,305
63,C00116,3416,753
64,C00120,3420,171548
65,C00121,3421,5779
66,C00123,3423,6106
67,C00124,3424,6036
68,C00129,3429,1195
69,C00130,3430,135398640
70,C00131,3431,15993
71,C00133,3433,71080
72,C00134,3434,1045
73,C00135,3435,6274
74,C00137,3437,892
75,C00140,3440,439174
76,C00141,3441,49
77,C00144,3444,135398631
78,C00146,3446,996
79,C00147,3447,190
80,C00148,3448,145742
81,C00149,3449,222656
82,C00152,3452,6267
83,C00153,3453,936
84,C00154,3454,644109
85,C00155,3455,91552
86,C00157,3457,
87,C00158,3458,311
88,C00159,3459,18950
89,C00163,3463,1032
90,C00164,3464,96
91,C00165,3465,
92,C00178,3478,1135
93,C00179,3479,199
94,C00181,3481,135191
95,C00183,3483,6287
96,C00184,3484,670
97,C00185,3485,439178
98,C00186,3486,107689
99,C00187,3487,5997
100,C00188,3488,6288
101,C00189,3489,700
102,C00191,3491,94715
103,C00194,3494,24836903
104,C00195,3495,
105,C00202,3502,5936
106,C00206,3506,188966
107,C00208,3508,439186
108,C00209,3509,971
109,C00212,3512,60961
110,C00214,3514,5789
111,C00216,3516,6902
112,C00217,3517,23327
113,C00219,3519,444899
