,KEGG,Pubchem SID,Pubchem CID
114,C00222,3522,868
115,C00223,3523,6440013
116,C00232,3531,1112
117,C00233,3532,70
118,C00235,3534,647
119,C00239,3538,13945
120,C00242,3541,135398634
121,C00243,3542,440995
122,C00246,3545,264
123,C00247,3546,439192
124,C00249,3548,985
125,C00250,3549,1050
126,C00252,3551,439193
127,C00253,3552,938
128,C00255,3554,493570
129,C00257,3556,10690
130,C00259,3558,439195
131,C00262,3560,135398638
132,C00263,3561,12647
133,C00269,3567,
134,C00270,3568,439197
135,C00272,3570,135398654
136,C00280,3575,6128
137,C00286,3581,135398599
138,C00291,3585,935
139,C00292,3586,6115
140,C00294,3588,135398641
141,C00299,3593,6029
142,C00304,3598,
143,C00306,3600,439201
144,C00309,3603,439203
145,C00310,3604,439204
146,C00311,3605,1198
147,C00312,3606,439205
148,C00314,3608,1054
149,C00319,3613,5280335
150,C00322,3616,71
151,C00323,3617,11966126
152,C00327,3621,9750
153,C00329,3623,439213
154,C00330,3624,135398592
155,C00333,3627,439215
156,C00334,3628,119
157,C00341,3634,445995
158,C00344,3637,
159,C00348,3641,5280338
160,C00350,3643,
161,C00353,3646,447277
162,C00355,3648,6047
163,C00360,3651,12599
164,C00361,3652,135398595
165,C00362,3653,135398597
166,C00363,3654,164628
167,C00364,3655,9700
168,C00365,3656,65063
169,C00376,3666,638015
170,C00378,3668,1130
171,C00379,3669,6912
172,C00380,3670,597
173,C00381,3671,24892719
174,C00383,3673,867
175,C00385,3675,1188
176,C00386,3676,439224
177,C00387,3677,135398635
178,C00388,3678,774
179,C00389,3679,5280343
180,C00392,3682,6251
181,C00398,3688,1150
182,C00399,3689,5280346
183,C00400,3690,16666
184,C00402,3692,83887
185,C00406,3696,11966129
186,C00407,3697,6306
187,C00408,3698,439227
188,C00410,3700,5994
189,C00411,3701,11966120
190,C00412,3702,94140
191,C00413,3703,19649
192,C00414,3704,7967
193,C00416,3706,
194,C00417,3707,643757
195,C00422,3712,
196,C00423,3713,444539
197,C00427,3717,445049
198,C00431,3720,138
199,C00436,3725,502
200,C00448,3736,445713
201,C00458,3742,65091
202,C00459,3743,64968
203,C00460,3744,65070
204,C00468,3751,5870
205,C00469,3752,702
206,C00472,3755,4650
207,C00473,3756,445354
208,C00475,3758,6175
209,C00476,3759,439240
210,C00477,3760,19212
211,C00482,3765,637775
212,C00483,3766,5610
213,C00489,3772,743
214,C00493,3776,8742
215,C00504,3787,135398658
216,C00507,3790,25310
217,C00508,3791,439245
218,C00509,3792,439246
219,C00510,3793,5497111
220,C00511,3794,6581
221,C00521,3804,439250
222,C00523,3806,5879
223,C00525,3808,9060
224,C00526,3809,13712
225,C00530,3812,785
226,C00534,3816,1052
227,C00535,3817,6013
228,C00540,3821,6444037
229,C00546,3827,880
230,C00547,3828,439260
231,C00550,3831,
232,C00553,3834,439263
233,C00558,3838,439264
234,C00559,3839,13730
235,C00568,3847,978
236,C00575,3854,6076
237,C00577,3856,79014
238,C00584,3863,5280360
239,C00586,3865,439268
240,C00590,3869,1549095
241,C00606,3881,1549098
242,C00616,3890,5280362
243,C00621,3895,24892721
244,C00639,3912,5280363
245,C00641,3914,
246,C00645,3918,439281
247,C00655,3925,73323
248,C00671,3940,439286
249,C00674,3943,222865
250,C00681,3950,
251,C00695,3963,221493
252,C00696,3964,448457
253,C00705,3972,150855
254,C00712,3978,445639
255,C00723,3989,445639
256,C00725,3990,864
257,C00729,3994,8424
258,C00735,3998,5754
259,C00739,4002,57449
260,C00740,4003,71077
261,C00744,4006,5280369
262,C00745,4007,89594
263,C00746,4008,439302
264,C00747,4009,1049
265,C00751,4013,638072
266,C00757,4019,2353
267,C00758,4020,5280371
268,C00761,4023,5280372
269,C00762,4024,222786
270,C00763,4025,8988
271,C00764,4026,439304
272,C00765,4027,439305
273,C00773,4035,5462227
274,C00774,4036,4788
275,C00777,4038,444795
276,C00780,4041,5202
277,C00783,4042,79038
278,C00786,4044,439310
279,C00788,4046,5816
280,C00792,4050,71070
281,C00793,4051,92851
282,C00794,4052,5780
283,C00795,4053,439312
284,C00796,4054,54676038
285,C00803,4061,7991
286,C00808,4066,9543187
287,C00809,4067,2537
288,C00811,4069,637542
289,C00814,4072,5280373
290,C00819,4077,145815
291,C00820,4078,69435
292,C00823,4081,2682
293,C00828,4086,5280374
294,C00829,4087,931
295,C00836,4094,91486
296,C00841,4098,65090
297,C00843,4100,26447
298,C00844,4101,119033
299,C00848,4105,112203
300,C00852,4109,1794427
301,C00855,4112,84815
302,C00858,4115,5280378
303,C00859,4116,439329
304,C00862,4119,21122601
305,C00864,4121,6613
306,C00869,4126,439332
307,C00873,4130,3081372
308,C00881,4137,13711
309,C00888,4144,11966122
310,C00899,4155,5280382
311,C00902,4157,159664
312,C00903,4158,637511
313,C00905,4160,439343
314,C00909,4164,5280383
315,C00916,4170,65536
316,C00918,4172,5959
317,C00933,4185,5280385
318,C00941,4193,19236
319,C00942,4194,135398570
320,C00943,4195,135398663
321,C00951,4202,5757
322,C00952,4203,5757
323,C00954,4205,802
324,C00958,4209,
325,C00959,4210,5280388
326,C00961,4212,5280389
327,C00964,4215,94221
328,C00968,4218,188955
329,C00974,4223,122850
330,C00980,4229,
331,C00989,4235,10413
332,C00993,4239,5460362
333,C01004,4250,5571
334,C01013,4258,68152
335,C01018,4263,19466
336,C01019,4264,17106
337,C01020,4265,72924
338,C01048,4290,5280394
339,C01054,4295,5459811
340,C01060,4299,9305
341,C01069,4308,11953793
342,C01083,4320,7427
343,C01089,4324,92135
344,C01091,4326,260534
345,C01092,4327,173
346,C01108,4340,1057
347,C01110,4342,439402
348,C01120,4351,644260
349,C01123,4354,439410
350,C01124,4355,11222
351,C01126,4357,445070
352,C01132,4363,35717
353,C01137,4368,439415
354,C01155,4383,5280402
355,C01156,4384,5280403
356,C01157,4385,5810
357,C01164,4391,439423
358,C01175,4402,5280406
359,C01176,4403,6238
360,C01180,4407,473
361,C01185,4411,121992
362,C01187,4413,119228
363,C01189,4415,65728
364,C01190,4416,
365,C01194,4419,
366,C01197,4422,689043
367,C01217,4439,135398665
368,C01226,4448,5280411
369,C01227,4449,5881
370,C01230,4452,5280413
371,C01262,4481,112072
372,C01263,4482,129648
373,C01264,4483,
374,C01265,4484,5280417
375,C01268,4487,439462
376,C01277,4496,
377,C01282,4501,
378,C01288,4507,
379,C01289,4508,46173713
380,C01290,4509,
381,C01292,4511,439472
382,C01301,4519,439479
383,C01304,4522,135398601
384,C01312,4527,5280427
385,C01319,4533,23931
386,C01327,4538,313
387,C01346,4551,145729
388,C01362,4564,145729
389,C01375,4572,445643
390,C01378,4573,5317435
391,C01387,4581,356
392,C01389,4582,5280435
393,C01407,4596,241
394,C01411,4599,64685
395,C01413,4601,23973
396,C01414,4602,5280437
397,C01416,4603,446220
398,C01418,4605,5459896
399,C01420,4607,595
400,C01424,4609,370
401,C01433,4616,87691
402,C01443,4621,439501
403,C01448,4625,160717
404,C01451,4628,439503
405,C01455,4632,1140
406,C01457,4634,5280440
407,C01460,4637,5280441
408,C01470,4645,5280442
409,C01471,4646,7847
410,C01474,4647,6293
411,C01477,4649,5280443
412,C01479,4651,174174
413,C01481,4652,689043
414,C01487,4657,439507
415,C01493,4663,439507
416,C01494,4664,445858
417,C01499,4668,638011
418,C01500,4669,637566
419,C01501,4670,637566
420,C01505,4673,5311111
421,C01508,4676,439508
422,C01510,4677,11389478
423,C01512,4678,89640
424,C01514,4680,5280445
425,C01516,4681,5288826
426,C01518,4683,439512
427,C01526,4688,10666
428,C01527,4689,439514
429,C01529,4691,6326970
430,C01530,4692,5281
431,C01533,4695,5316860
432,C01537,4698,5641
433,C01541,4702,54678486
434,C01545,4704,454
435,C01550,4708,439517
436,C01553,4711,2179
437,C01554,4712,94144
438,C01557,4715,2355
439,C01561,4719,5283731
440,C01562,4720,5280448
441,C01566,4723,9864
442,C01570,4727,439524
443,C01571,4728,2969
444,C01574,4731,2969
445,C01575,4732,9294
446,C01576,4733,36462
447,C01585,4740,8892
448,C01590,4745,119269
449,C01592,4747,439528
450,C01594,4749,11128
451,C01595,4750,5280450
452,C01598,4752,896
453,C01601,4755,8158
454,C01604,4758,6072
455,C01607,4760,26840
456,C01617,4769,439533
457,C01625,4776,439537
458,C01626,4777,11953805
459,C01628,4778,
460,C01630,4780,439538
461,C01633,4783,8174
462,C01659,4808,6579
463,C01661,4809,31703
464,C01673,4817,5280453
465,C01678,4821,6058
466,C01684,4826,439548
467,C01687,4828,6437804
468,C01692,4833,3117
469,C01694,4835,444679
470,C01699,4839,439551
471,C01701,4841,162807
472,C01705,4843,3496
473,C01709,4847,72281
474,C01712,4850,637517
475,C01714,4851,162350
476,C01719,4856,11769129
477,C01724,4861,246983
478,C01728,4865,439557
479,C01729,4866,73067
480,C01735,4870,5459823
481,C01737,4872,8378
482,C01742,4876,439559
483,C01745,4879,5280457
484,C01747,4881,5280458
485,C01750,4883,5280459
486,C01751,4884,5054
487,C01752,4885,5280460
488,C01753,4886,222284
489,C01754,4887,
490,C01761,4894,11953806
491,C01762,4895,64959
492,C01765,4898,439568
493,C01766,4899,439569
494,C01767,4900,439570
495,C01770,4903,7302
496,C01772,4905,637540
497,C01775,4906,637540
498,C01780,4910,5839
499,C01789,4917,173183
500,C01790,4918,
501,C01792,4919,299
502,C01795,4922,72310
503,C01796,4923,439574
504,C01801,4927,9828112
505,C01802,4928,439577
506,C01816,4940,12398
507,C01821,4945,114776
508,C01825,4948,12003287
509,C01826,4949,65098
510,C01829,4950,5819
511,C01832,4951,165436
512,C01836,4955,165436
513,C01838,4957,12533
514,C01839,4958,68072
515,C01841,4959,194140
516,C01842,4960,12298
517,C01845,4963,3776
518,C01848,4965,5459948
519,C01849,4966,5280468
520,C01851,4968,153311
521,C01852,4969,161276
522,C01855,4972,107721
523,C01860,4975,114857
524,C01864,4978,4114
525,C01868,4982,439592
526,C01870,4984,656493
527,C01875,4989,8163
528,C01879,4992,7405
529,C01884,4997,
530,C01885,4998,
531,C01895,5008,5496540
532,C01897,5009,24360
533,C01901,5011,24360
534,C01902,5012,92110
535,C01905,5014,439600
536,C01907,5016,30323
537,C01912,5020,12560
538,C01918,5025,
539,C01921,5027,10140
540,C01933,5038,21236
541,C01937,5042,126941
542,C01941,5045,6400657
543,C01942,5046,193520
544,C01943,5047,65252
545,C01944,5048,445344
546,C01945,5049,11953808
547,C01946,5050,72493
548,C01948,5051,17697
549,C01949,5052,7895
550,C01951,5054,381152
551,C01953,5056,8955
552,C01957,5058,439612
553,C01967,5068,5280473
554,C01968,5069,53297330
555,C01996,5093,187
556,C01998,5095,7855
557,C02001,5097,7858
558,C02004,5100,656496
559,C02010,5106,439625
560,C02017,5112,439625
561,C02022,5117,5460177
562,C02024,5119,439630
563,C02034,5127,46173718
564,C02035,5128,439635
565,C02041,5132,3081439
566,C02045,5134,5460032
567,C02046,5135,154417
568,C02048,5137,439637
569,C02050,5139,5497112
570,C02059,5148,5280483
571,C02066,5154,8424
572,C02074,5160,5280486
573,C02075,5161,
574,C02076,5162,439645
575,C02078,5164,15541
576,C02083,5168,7276
577,C02085,5170,
578,C02094,5178,5280489
579,C02105,5187,439653
580,C02106,5188,439654
581,C02108,5190,274476
582,C02110,5192,5280490
583,C02112,5194,
584,C02116,5196,398
585,C02117,5197,439657
586,C02122,5201,439658
587,C02129,5208,18407
588,C02134,5213,98570
589,C02135,5214,172198
590,C02140,5219,5753
591,C02141,5220,101690
592,C02151,5228,5280491
593,C02153,5230,656498
594,C02162,5238,68079
595,C02165,5240,5280492
596,C02166,5241,5280493
597,C02185,5256,24892729
598,C02198,5266,5280497
599,C02206,5274,221071
600,C02210,5278,221071
601,C02213,5280,94147
602,C02227,5292,7057
603,C02233,5297,439684
604,C02249,5312,5497113
605,C02255,5317,
606,C02256,5318,54445
607,C02261,5323,439691
608,C02262,5324,24154
609,C02265,5326,71567
610,C02271,5331,6344
611,C02277,5335,8193
612,C02278,5336,8194
613,C02283,5340,10114
614,C02284,5341,128229
615,C02289,5345,439696
616,C02293,5349,5280505
617,C02314,5368,5280506
618,C02321,5374,
619,C02325,5377,5280507
620,C02341,5390,444212
621,C02344,5393,439711
622,C02353,5400,101812
623,C02354,5401,68934
624,C02355,5402,439715
625,C02356,5403,80283
626,C02367,5411,439717
627,C02378,5420,564
628,C02380,5422,667490
629,C02404,5437,667490
630,C02426,5454,439723
631,C02442,5464,9727
632,C02451,5471,11966167
633,C02452,5472,369312
634,C02454,5474,7935
635,C02462,5479,11744854
636,C02465,5481,5920
637,C02477,5492,14985
638,C02483,5496,92729
639,C02485,5498,439733
640,C02495,5507,5280520
641,C02499,5511,7017
642,C02507,5519,135398681
643,C02515,5525,439744
644,C02522,5532,439746
645,C02528,5536,10133
646,C02530,5537,
647,C02533,5540,688492
648,C02537,5544,68570
649,C02538,5545,3001028
650,C02549,5553,188458
651,C02569,5566,5280528
652,C02575,5570,992
653,C02576,5571,16441
654,C02588,5580,5280531
655,C02592,5584,439763
656,C02593,5585,11966124
657,C02621,5604,439768
658,C02625,5607,8449
659,C02633,5613,439770
660,C02646,5623,5280535
661,C02656,5629,385
662,C02657,5630,11279
663,C02666,5637,5280536
664,C02673,5644,439783
665,C02675,5646,439784
666,C02678,5648,12736
667,C02679,5649,3893
668,C02686,5655,
669,C02713,5676,5462244
670,C02737,5698,
671,C02744,5704,5280538
672,C02758,5715,5280538
673,C02759,5716,439800
674,C02765,5721,7028
675,C02771,5724,3082131
676,C02773,5725,
677,C02774,5726,74300
678,C02781,5732,439804
679,C02785,5736,5280540
680,C02793,5744,11953813
681,C02806,5756,5280544
682,C02811,5761,54675758
683,C02821,5769,5744
684,C02822,5770,439818
685,C02838,5780,449186
686,C02846,5785,949
687,C02862,5799,439830
688,C02868,5804,99613
689,C02887,5818,11953815
690,C02890,5820,72301
691,C02904,5831,19100
692,C02906,5833,161557
693,C02916,5839,439845
694,C02920,5843,5280551
695,C02934,5855,439853
696,C02944,5863,11966217
697,C02947,5866,5280555
698,C02952,5870,439864
699,C02960,5876,
700,C02961,5877,6253
701,C02970,5883,45479680
702,C02980,5890,8512
703,C02990,5899,167760
704,C03000,5909,
705,C03017,5923,107739
706,C03019,5925,439882
707,C03027,5932,92145
708,C03032,5937,135398689
709,C03035,5940,11966132
710,C03037,5942,20218
711,C03039,5943,85568
712,C03049,5952,151842
713,C03070,5970,5283906
714,C03092,5990,11953818
715,C03093,5991,5280569
716,C03098,5996,2346
717,C03115,6010,5280571
718,C03134,6023,6228
719,C03145,6033,439750
720,C03190,6069,439937
721,C03194,6071,439938
722,C03199,6076,162916
723,C03201,6078,
724,C03205,6081,6166
725,C03206,6082,54675762
726,C03220,6093,1549108
727,C03221,6094,11966110
728,C03226,6098,135398691
729,C03240,6110,121904
730,C03242,6112,5280581
731,C03299,6155,6604726
732,C03309,6162,439972
733,C03325,6173,439976
734,C03329,6176,21171
735,C03341,6184,439983
736,C03349,6191,1646
737,C03405,6234,
738,C03406,6235,16950
739,C03410,6239,440001
740,C03427,6254,5280591
741,C03428,6255,6449797
742,C03448,6270,440017
743,C03454,6274,
744,C03455,6275,5459829
745,C03461,6281,5280598
746,C03467,6286,440024
747,C03470,6287,161336
748,C03502,6314,23724473
749,C03503,6315,440032
750,C03508,6318,440033
751,C03514,6323,179651
752,C03515,6324,5280601
753,C03525,6333,440038
754,C03567,6359,440047
755,C03570,6362,440049
756,C03576,6368,598
757,C03577,6369,5280606
758,C03579,6371,440051
759,C03582,6374,445154
760,C03588,6379,440054
761,C03594,6385,107722
762,C03595,6386,11966190
763,C03634,6417,37783
764,C03640,6422,5280613
765,C03641,6423,440070
766,C03642,6424,440071
767,C03648,6429,440073
768,C03656,6434,440077
769,C03662,6440,5280616
770,C03664,6442,1486
771,C03677,6452,5280619
772,C03683,6458,5280620
773,C03686,6461,104940
774,C03690,6464,8343
775,C03692,6466,
776,C03752,6511,73563
777,C03758,6517,681
778,C03764,6520,6053
779,C03772,6526,440114
780,C03796,6545,440123
781,C03799,6548,11953825
782,C03819,6563,
783,C03820,6564,
784,C03838,6578,160913
785,C03840,6579,3806
786,C03843,6580,440138
787,C03852,6589,15818
788,C03855,6591,440145
789,C03858,6594,440147
790,C03870,6604,16126794
791,C03873,6607,
792,C03882,6615,638024
793,C03892,6624,
794,C03897,6629,5280631
795,C03898,6630,5280632
796,C03910,6640,440161
797,C03916,6645,5280634
798,C03917,6646,10635
799,C03935,6661,440168
800,C03944,6668,14608351
801,C03946,6669,11953828
802,C03951,6673,5280637
803,C03958,6679,638678
804,C03962,6683,5459767
805,C03963,6684,92095
806,C03968,6688,
807,C03974,6693,
808,C03981,6698,54675764
809,C03985,6701,6549
810,C03990,6705,9903
811,C04021,6727,
812,C04024,6730,5280641
813,C04036,6739,89566
814,C04046,6747,
815,C04056,6756,5280644
816,C04068,6763,11953829
817,C04069,6764,46173724
818,C04074,6769,440215
819,C04083,6776,92180
820,C04084,6777,440218
821,C04100,6791,5280646
822,C04102,6793,86555
823,C04109,6799,5280647
824,C04118,6807,440229
825,C04136,6822,
826,C04145,6830,5280650
827,C04146,6831,5280651
828,C04165,6847,440243
829,C04170,6851,5280655
830,C04178,6856,15531
831,C04181,6858,440248
832,C04193,6866,23724476
833,C04194,6867,11953831
834,C04199,6872,185995
835,C04213,6886,
836,C04216,6889,5280658
837,C04217,6890,5280659
838,C04218,6891,44176383
839,C04230,6900,
840,C04233,6902,
841,C04237,6906,440269
842,C04248,6913,
843,C04265,6930,15071718
844,C04271,6934,162933
845,C04293,6953,5280666
846,C04294,6954,1136
847,C04295,6955,10634
848,C04300,6959,440288
849,C04302,6961,440289
850,C04315,6973,
851,C04317,6975,
852,C04327,6980,1137
853,C04373,7015,5880
854,C04385,7026,11953833
855,C04403,7039,11953834
856,C04416,7048,5280675
857,C04422,7054,
858,C04435,7066,5280680
859,C04437,7068,440341
860,C04438,7069,
861,C04443,7072,5280681
862,C04444,7073,5280682
863,C04453,7080,440345
864,C04465,7088,44176384
865,C04475,7095,
866,C04476,7096,
867,C04483,7102,222528
868,C04491,7110,441674
869,C04500,7114,24892748
870,C04507,7121,46173730
871,C04517,7130,
872,C04525,7136,440371
873,C04527,7138,5280695
874,C04530,7140,440375
875,C04537,7144,24892751
876,C04549,7155,
877,C04552,7157,5280699
878,C04554,7159,440384
879,C04555,7160,12594
880,C04574,7175,5280700
881,C04576,7177,65238
882,C04577,7178,5280701
883,C04578,7179,131952883
884,C04581,7182,148856
885,C04583,7184,126220
886,C04590,7189,11705814
887,C04594,7192,5280703
888,C04596,7193,3035
889,C04598,7195,
890,C04608,7199,5280704
891,C04615,7206,24892752
892,C04623,7213,3036
893,C04628,7217,5462265
894,C04635,7224,
895,C04636,7225,
896,C04637,7226,
897,C04640,7229,5462266
898,C04643,7232,188292
899,C04652,7239,25203769
900,C04661,7245,440427
901,C04672,7253,20843328
902,C04676,7257,160753
903,C04680,7261,
904,C04685,7266,5280714
905,C04686,7267,5280715
906,C04714,7286,
907,C04715,7287,440453
908,C04717,7289,5280720
909,C04719,7291,11988260
910,C04722,7294,440460
911,C04730,7301,
912,C04738,7309,194791
913,C04741,7312,5280723
914,C04742,7313,5280724
915,C04756,7325,
916,C04785,7348,5497123
917,C04792,7355,
918,C04793,7356,440483
919,C04805,7367,5280733
920,C04806,7368,440489
921,C04814,7376,146035859
922,C04822,7383,5283170
923,C04824,7385,123907
924,C04830,7391,46173737
925,C04834,7395,5459797
926,C04843,7400,5280741
927,C04844,7401,25244777
928,C04848,7405,
929,C04849,7406,5280743
930,C04851,7408,46173738
931,C04853,7409,5280745
932,C04858,7413,5280746
933,C04859,7414,440517
934,C04871,7423,50895
935,C04872,7424,
936,C04881,7433,46173739
937,C04884,7436,
938,C04900,7450,5280752
939,C04909,7459,
940,C04911,7461,
941,C04919,7466,10329124
942,C04920,7467,
943,C04932,7476,13831140
944,C05028,7499,6230
945,C05042,7508,4794
946,C05071,7521,47491
947,C05073,7522,54675768
948,C05076,7524,54739
949,C05079,7525,4421
950,C05080,7526,54675769
951,C05086,7528,5280754
952,C05103,7531,146035860
953,C05104,7532,440557
954,C05108,7534,440559
955,C05109,7535,440560
956,C05110,7536,440561
957,C05111,7537,440562
958,C05122,7544,46783527
959,C05138,7557,440573
960,C05139,7558,102030
961,C05140,7559,440574
962,C05141,7560,5756
963,C05143,7561,161355
964,C05145,7563,64956
965,C05148,7566,440576
966,C05151,7569,27924
967,C05158,7575,5280759
968,C05174,7585,440582
969,C05175,7586,440583
970,C05176,7587,440584
971,C05177,7588,440585
972,C05178,7589,440586
973,C05179,7590,5408233
974,C05189,7594,4970
975,C05190,7595,440587
976,C05191,7596,124069
977,C05193,7598,440588
978,C05194,7599,440589
979,C05202,7607,440591
980,C05204,7609,164543
981,C05208,7613,
982,C05209,7614,
983,C05210,7615,
984,C05212,7616,
985,C05220,7619,5460042
986,C05223,7620,
987,C05230,7626,119268
988,C05243,7636,440595
989,C05247,7637,440596
990,C05262,7649,11966173
991,C05263,7650,11966169
992,C05264,7651,11966158
993,C05265,7652,11966155
994,C05266,7653,11966216
995,C05267,7654,11966162
996,C05268,7655,11966160
997,C05269,7656,3082152
998,C05270,7657,449118
999,C05271,7658,11966204
1000,C05272,7659,25271599
1001,C05273,7660,11966172
1002,C05274,7661,164800
1003,C05275,7662,24883423
1004,C05276,7663,11966175
1005,C05284,7671,94141
1006,C05285,7672,223997
1007,C05290,7675,252379
1008,C05291,7676,65541
1009,C05293,7677,11302
1010,C05294,7678,150968
1011,C05295,7679,12850019
1012,C05296,7680,65542
1013,C05297,7681,92854
1014,C05298,7682,440623
1015,C05299,7683,440624
1016,C05300,7684,115116
1017,C05301,7685,247304
1018,C05302,7686,66414
1019,C05308,7690,152192
1020,C05315,7697,19009
1021,C05316,7698,440631
1022,C05322,7704,5460163
1023,C05332,7711,1001
1024,C05334,7712,160481
1025,C05356,7733,5280778
1026,C05361,7738,9321
1027,C05366,7741,73399
1028,C05371,7745,445434
1029,C05376,7750,5280781
1030,C05377,7751,4055
1031,C05402,7769,440658
1032,C05413,7779,5280784
1033,C05414,7780,6436722
1034,C05421,7785,9963391
1035,C05427,7791,14556929
1036,C05430,7794,5280788
1037,C05431,7795,5280789
1038,C05432,7796,446925
1039,C05433,7797,4369188
1040,C05434,7798,5280790
1041,C05435,7799,5280791
1042,C05437,7800,92746
1043,C05439,7801,440670
1044,C05440,7802,23724485
1045,C05441,7803,5280793
1046,C05442,7804,5280794
1047,C05443,7805,5280795
1048,C05444,7806,3082089
1049,C05445,7807,5460041
1050,C05446,7808,193321
1051,C05451,7813,5284270
1052,C05452,7814,3080603
1053,C05454,7816,160520
1054,C05455,7817,123743
1055,C05463,7823,92042745
1056,C05464,7824,3035026
1057,C05465,7825,387316
1058,C05466,7826,12544
1059,C05468,7828,440691
1060,C05469,7829,65554
1061,C05470,7830,5866
1062,C05472,7832,5864
1063,C05476,7836,65553
1064,C05488,7847,440707
1065,C05490,7849,6290
1066,C05497,7850,92827
1067,C05499,7852,21145112
1068,C05500,7853,121935
1069,C05501,7854,6453841
1070,C05502,7855,167685
1071,C05503,7856,440713
1072,C05504,7857,122281
1073,C05513,7860,164933
1074,C05520,7865,440714
1075,C05551,7885,5904
1076,C05601,7924,553
1077,C05608,7931,641301
1078,C05610,7932,5280802
1079,C05619,7937,446834
1080,C05622,7939,5280803
1081,C05623,7940,5280804
1082,C05625,7941,5280805
1083,C05631,7944,440735
1084,C05681,7988,
1085,C05683,7990,21155884
1086,C05688,7995,25076
1087,C05715,8022,440769
1088,C05717,8023,440770
1089,C05745,8040,
1090,C05746,8041,
1091,C05747,8042,
1092,C05748,8043,
1093,C05749,8044,
1094,C05750,8045,
1095,C05751,8046,
1096,C05752,8047,
1097,C05753,8048,
1098,C05754,8049,
1099,C05755,8050,
1100,C05756,8051,
1101,C05757,8052,
1102,C05758,8053,
1103,C05759,8054,
1104,C05760,8055,
1105,C05761,8056,
1106,C05762,8057,
1107,C05763,8058,
1108,C05764,8059,
1109,C05776,8071,
1110,C05777,8072,6913995
1111,C05807,8102,5280829
1112,C05808,8103,5280830
1113,C05818,8113,5280838
1114,C05837,8130,656506
1115,C05838,8131,5280841
1116,C05839,8132,5316113
1117,C05841,8134,161234
1118,C05848,8141,5280844
1119,C05849,8142,5280845
1120,C05851,8144,323
1121,C05855,8148,5280847
1122,C05860,8153,24892765
1123,C05861,8154,24892766
1124,C05864,8157,24892767
1125,C05868,8161,24892768
1126,C05893,8181,46173749
1127,C05894,8182,46173750
1128,C05895,8183,46173751
1129,C05897,8185,46173752
1130,C05898,8186,46173753
1131,C05901,8189,667639
1132,C05902,8190,5280862
1133,C05903,8191,5280863
1134,C05904,8192,440832
1135,C05905,8193,128861
1136,C05906,8194,440833
1137,C05907,8195,440834
1138,C05908,8196,128853
1139,C05909,8197,440835
1140,C05911,8199,440836
1141,C05918,8206,5280866
1142,C05919,8207,5280867
1143,C05923,8211,135398720
1144,C05949,8233,5280876
1145,C05950,8234,5280877
1146,C05951,8235,5280878
